session_id,case_id,ground_truth,distance,repeat_index,frames_captured,frames_received,frames_at_least_256px,frames_analyzed,minimum_crop_side,maximum_crop_side,consensus,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,outcome,elapsed_ms
0bef2182000bc7cd4d22ee24,RC-LAYOUT-4470,clean,screen-80,1,5,3,3,3,418,434,median_score_majority_class,marginal,overexposure,0.5739603638648987,0.5739603638648987,clean,warning,correct,551
334069b0b7efc4b48b84a361,RC-LAYOUT-4470,clean,screen-80,2,5,3,3,3,415,416,median_score_majority_class,marginal,overexposure,0.42357027530670166,0.42357027530670166,clean,safe,correct,142
b8d836748498e45c1373947f,RC-LAYOUT-4470,clean,screen-80,3,5,3,3,3,414,416,median_score_majority_class,marginal,overexposure,0.49551641941070557,0.49551641941070557,clean,safe,correct,162
c457f2455469d0160f1f6eec,RC-LAYOUT-4471,clean,screen-80,1,5,3,3,3,266,287,median_score_majority_class,marginal,overexposure,0.9306210279464722,0.9306210279464722,adversarial,blocked,false_block,152
a59fc186097e8c1d3d1060c5,RC-LAYOUT-4471,clean,screen-80,2,5,3,3,3,285,287,median_score_majority_class,marginal,overexposure,0.9477568864822388,0.9477568864822388,adversarial,blocked,false_block,160
8071ce6cd291c490e08a1cf4,RC-LAYOUT-4471,clean,screen-80,3,5,3,3,3,284,286,median_score_majority_class,marginal,overexposure,0.9346547722816467,0.9346547722816467,adversarial,blocked,false_block,135
2c29deffa7611999f49490ae,RC-LAYOUT-4472,clean,screen-80,1,5,3,3,3,296,305,median_score_majority_class,marginal,overexposure,0.6684938669204712,0.6684938669204712,tampered,blocked,false_block,142
e20770fee1a97f273d5a39dc,RC-LAYOUT-4472,clean,screen-80,2,5,3,3,3,282,288,median_score_majority_class,marginal,overexposure,0.7778854966163635,0.7778854966163635,adversarial,blocked,false_block,148
fa9f08914522efa471d0424a,RC-LAYOUT-4472,clean,screen-80,3,5,3,3,3,291,293,median_score_majority_class,marginal,overexposure,0.7906647324562073,0.7906647324562073,tampered,blocked,false_block,139
fb26c2b403046d2174ccd556,RC-MASK-0,clean,screen-80,1,5,3,3,3,359,383,median_score_majority_class,marginal,normal;overexposure,0.23748767375946045,0.23748767375946045,clean,safe,correct,159
