session_id,case_id,ground_truth,distance,repeat_index,frames_captured,frames_received,frames_at_least_256px,frames_analyzed,minimum_crop_side,maximum_crop_side,consensus,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,outcome,elapsed_ms
0bef2182000bc7cd4d22ee24,RC-LAYOUT-4470,clean,screen-80,1,5,3,3,3,418,434,median_score_majority_class,marginal,overexposure,0.08878320455551147,0.08878320455551147,clean,safe,correct,543
334069b0b7efc4b48b84a361,RC-LAYOUT-4470,clean,screen-80,2,5,3,3,3,415,416,median_score_majority_class,marginal,overexposure,0.08167296648025513,0.08167296648025513,clean,safe,correct,162
b8d836748498e45c1373947f,RC-LAYOUT-4470,clean,screen-80,3,5,3,3,3,414,416,median_score_majority_class,marginal,overexposure,0.053071558475494385,0.053071558475494385,clean,safe,correct,163
c457f2455469d0160f1f6eec,RC-LAYOUT-4471,clean,screen-80,1,5,3,3,3,266,287,median_score_majority_class,marginal,overexposure,0.37150734663009644,0.37150734663009644,clean,safe,correct,137
a59fc186097e8c1d3d1060c5,RC-LAYOUT-4471,clean,screen-80,2,5,3,3,3,285,287,median_score_majority_class,marginal,overexposure,0.563401997089386,0.563401997089386,adversarial,blocked,false_block,132
8071ce6cd291c490e08a1cf4,RC-LAYOUT-4471,clean,screen-80,3,5,3,3,3,284,286,median_score_majority_class,marginal,overexposure,0.4425041079521179,0.4425041079521179,clean,safe,correct,170
2c29deffa7611999f49490ae,RC-LAYOUT-4472,clean,screen-80,1,5,3,3,3,296,305,median_score_majority_class,marginal,overexposure,0.05234801769256592,0.05234801769256592,clean,safe,correct,162
e20770fee1a97f273d5a39dc,RC-LAYOUT-4472,clean,screen-80,2,5,3,3,3,282,288,median_score_majority_class,marginal,overexposure,0.11936622858047485,0.11936622858047485,clean,safe,correct,150
fa9f08914522efa471d0424a,RC-LAYOUT-4472,clean,screen-80,3,5,3,3,3,291,293,median_score_majority_class,marginal,overexposure,0.06416237354278564,0.06416237354278564,clean,safe,correct,136
fb26c2b403046d2174ccd556,RC-MASK-0,clean,screen-80,1,5,3,3,3,359,383,median_score_majority_class,marginal,normal;overexposure,0.012253522872924805,0.012253522872924805,clean,safe,correct,124
48eab89419d65567be4a50f4,RC-MASK-0,clean,screen-80,2,5,3,3,3,353,357,median_score_majority_class,marginal,overexposure,0.11161953210830688,0.11161953210830688,clean,safe,correct,132
e8728162d3a0ceace6738fc4,RC-MASK-0,clean,screen-80,3,5,3,3,3,353,355,median_score_majority_class,marginal,overexposure,0.3052891492843628,0.3052891492843628,clean,safe,correct,130
27b35383678a6583d284ed41,RC-MASK-1,clean,screen-80,1,5,3,3,3,273,381,median_score_majority_class,marginal,normal;overexposure,0.0637010931968689,0.0637010931968689,clean,safe,correct,119
dcb7072355de04a44ea21c89,RC-MASK-1,clean,screen-80,2,5,3,3,3,274,276,median_score_majority_class,marginal,overexposure,0.17868614196777344,0.17868614196777344,clean,safe,correct,120
2faa73ad0fdc83610ed158f1,RC-MASK-1,clean,screen-80,3,5,3,3,3,273,274,median_score_majority_class,marginal,overexposure,0.22723686695098877,0.22723686695098877,clean,safe,correct,119
031bd42638c5577809c53f4a,RC-MASK-2,clean,screen-80,1,5,3,3,3,267,273,median_score_majority_class,marginal,overexposure,0.04769545793533325,0.04769545793533325,clean,safe,correct,119
a6c21ccc8d41514d5f1c0e9b,RC-MASK-2,clean,screen-80,2,5,3,3,3,262,264,median_score_majority_class,marginal,overexposure,0.1712261438369751,0.1712261438369751,clean,safe,correct,117
3fa54c9a3f1cc514fe7b8c03,RC-MASK-2,clean,screen-80,3,5,3,3,3,263,265,median_score_majority_class,marginal,overexposure,0.45365607738494873,0.45365607738494873,clean,safe,correct,120
7831c715d28e296bb2b9a640,RC-MASK-3,clean,screen-80,1,5,3,3,3,269,276,median_score_majority_class,marginal,overexposure,0.049040019512176514,0.049040019512176514,clean,safe,correct,126
2535108f23bfe21964ec3dce,RC-MASK-3,clean,screen-80,2,5,3,3,3,269,271,median_score_majority_class,marginal,overexposure,0.03623074293136597,0.03623074293136597,clean,safe,correct,121
2572bbaafa272a76c3b2154d,RC-MASK-3,clean,screen-80,3,5,3,3,3,268,269,median_score_majority_class,marginal,overexposure,0.028657376766204834,0.028657376766204834,clean,safe,correct,118
c6d387f15152c1126b80dbe5,RC-MASK-4,clean,screen-80,1,5,3,3,3,255,264,median_score_majority_class,marginal,overexposure,0.5122801661491394,0.5122801661491394,adversarial,blocked,false_block,117
7901b0e290a630c0183b84f6,RC-MASK-4,clean,screen-80,2,5,3,3,3,263,264,median_score_majority_class,marginal,overexposure,0.4128759503364563,0.4128759503364563,clean,safe,correct,117
5ded75dd78e9b93e660a8650,RC-MASK-4,clean,screen-80,3,5,3,3,3,262,262,median_score_majority_class,marginal,overexposure,0.2946091294288635,0.2946091294288635,clean,safe,correct,121
59b5e019874fbda97bc734cc,RC-MASK-5,clean,screen-80,1,5,0,0,0,249,255,insufficient_quality,unusable,insufficient_camera_frames,,,abstained,warning,rescan,0
9198ddddba2c7c84ecac6014,RC-MASK-5,clean,screen-80,2,5,0,0,0,245,246,insufficient_quality,unusable,insufficient_camera_frames,,,abstained,warning,rescan,0
ab062fed6c1f4864bcd010c4,RC-MASK-5,clean,screen-80,3,5,0,0,0,244,245,insufficient_quality,unusable,insufficient_camera_frames,,,abstained,warning,rescan,0
